type,name,organization,description,created_date,url,modality,size,sample,analysis,dependencies,quality_control,access,license,intended_uses,prohibited_uses,monitoring,feedback,model_card,training_emissions,training_time,training_hardware,monthly_active_users,user_distribution,failures,lawsuits,lawsuit_inf,capabilities,safety,performance,business_readiness,org_credibility,known_successes,popularity,perceived_business_value
model,GPT-4,OpenAI,"GPT-4 is OpenAI's most advanced system, producing safer and more useful responses",14/03/2023,https://arxiv.org/abs/2303.08774,"image, text; image, text",unknown,,,[],,limited,unknown,,,,,,,,,180.5 million,,,1,"OpenAI has been sued for allegedly using personal data without consent. The New York Times as well as many authors have sued OpenAI, claiming that it used their articles and books to train its models without permission.",9,6,9,8.25,9,9,10,9.33
model,Gemini,Google,"As of release, Gemini is Google's most capable and flexible AI model, proficient in multimodal domains.",06/12/2023,https://deepmind.google/technologies/gemini/#introduction,"text; image, text, video",unknown,,"Evaluated on standard general, reasoning, math, coding, and multimodal benchmarks with results that surpass GPT-4 on almost all.",[],,closed,unknown,"general use large language model that can be used for language, reasoning, and code tasks.",becoming part of a general-purpose service or product or use within specific downstream applications without prior assessment,Google internal monitoring,,,unknown,unknown,unknown,330.9 million,,,0,,9,7,9,8.50,9,8,9,8.67
model,Llama 3,Meta,Llama 3 is the third generation of Meta AI's open-source large language model. It comes with pretrained and instruction-fine-tuned language models with 8B and 70B parameters that can support a broad range of use cases.,18/04/2024,https://llama.meta.com/llama3/,text; text,70B parameters,,"The models were evaluated based on their performance on standard benchmarks and real-world scenarios. These evaluations were performed using a high-quality human evaluation set containing 1,800 prompts covering multiple use cases. The models also went through red-teaming for safety, where human experts and automated methods were used to generate adversarial prompts to test for problematic responses.",[],"Extensive internal and external testing for safety, and design of new trust and safety tools.",open,Llama 3,"Llama 3 is intended for a broad range of use cases, including AI assistance, content creation, learning, and analysis.",unknown,Extensive internal and external performance evaluation and red-teaming approach for safety testing.,"Feedback is encouraged from users to improve the model, but the feedback mechanism is not explicitly described.",https://github.com/meta-llama/llama3/blob/main/MODEL_CARD.md,unknown,unknown,2 custom-built Meta 24K GPU clusters,unknown,,,1,Meta has been sued by several authors for allegedly using copyrighted books without permission to train Llama,7,5,5,5.50,7,7,7,7.00
model,Vicuna,LMSYS,An open-source chatbot trained by fine-tuning LLaMA on user-shared conversations collected from ShareGPT.,30/03/2023,https://lmsys.org/blog/2023-03-30-vicuna/,text; text,13B parameters (dense),,Evaluated against similar LLMs using GPT-4 as a judge.,"['LLaMA', 'ShareGPT conversations data']",,open,Apache 2.0,research on LLMs and chatbots,,,https://huggingface.co/datasets/bigcode/the-stack/discussions,https://huggingface.co/lmsys/vicuna-13b-delta-v0,,1 day,8 A100 GPUs,,,,0,,5,3,2,3.00,3,4,5,4.00
model,Claude 3,Anthropic,The Claude 3 model family is a collection of models which sets new industry benchmarks across a wide range of cognitive tasks.,04/03/2024,https://www.anthropic.com/news/claude-3-family,"image, text; text",unknown,,"Evaluated on reasoning, math, coding, reading comprehension, and question answering, outperforming GPT-4 on standard benchmarks.",[],Pre-trained on diverse dataset and aligned with Constitutional AI technique.,limited,unknown,"Claude models excel at open-ended conversation and collaboration on ideas, and also perform exceptionally well in coding tasks and when working with text - whether searching, writing, editing, outlining, or summarizing.","Prohibited uses include, but are not limited to, political campaigning or lobbying, surveillance, social scoring, criminal justice decisions, law enforcement, and decisions related to financing, employment, and housing.",,,https://www-cdn.anthropic.com/de8ba9b01c9ab7cbabf5c33b80b7bbc618857627/Model_Card_Claude_3.pdf,unknown,unknown,unknown,,,,0,,7,8,6,6.75,8,7,7,7.33
model,StableLM 2,Stability AI,"StableLM 2 is a state-of-the-art 1.6 billion parameter small language model trained on multilingual data in English, Spanish, German, Italian, French, Portuguese, and Dutch.",19/01/2024,https://stability.ai/news/introducing-stable-lm-2,text; text,1.6B parameters (dense),,Evaluated on standard LLM benchmarks and in multilingual tasks compared to similarly sized open-source models.,"['RedPajama-Data', 'The Pile', 'RefinedWeb', 'The Stack', 'OpenWebText', 'OpenWebMath']",,open,custom,The model is intended to be used as a foundational base model for application-specific fine-tuning. Developers must evaluate and fine-tune the model for safe performance in downstream applications.,,unknown,https://huggingface.co/stabilityai/stablelm-2-1_6b/discussions,https://huggingface.co/stabilityai/stablelm-2-1_6b,11 tCO2eq,92k GPU hours,512 NVIDIA A100 40GB GPUs,,,,0,,5,6,4,4.75,5,4,5,4.67
model,Falcon-180B,UAE Technology Innovation Institute,"Falcon-180B is a 180B parameters causal decoder-only model built by TII and trained on 3,500B tokens of RefinedWeb enhanced with curated corpora.",06/09/2023,https://arxiv.org/pdf/2311.16867.pdf,text; text,180B parameters (dense),,"Falcon-180B outperforms LLaMA-2, StableLM, RedPajama, MPT on the Open LLM Leaderboard at https://huggingface.co/spaces/HuggingFaceH4/open_llm_leaderboard.",['RefinedWeb'],,open,unknown,Research on large language models; as a foundation for further specialization for specific use cases.,Production use without adequate assessment of risks and mitigation; any use cases which may be considered irresponsible or harmful.,None,https://huggingface.co/tiiuae/falcon-180b/discussions,https://huggingface.co/tiiuae/falcon-180B,,9 months,4096 A100 40GB GPUs,,,,0,,6,6,7,6.50,3,3,5,3.67
model,DBRX,Databricks,DBRX is a transformer-based decoder-only large language model (LLM) that was trained using next-token prediction by Databricks. It uses a fine-grained mixture-of-experts (MoE) architecture with 132B total parameters of which 36B parameters are active on any input. DBRX only accepts text-based inputs and produces text-based outputs.,27/03/2024,https://www.databricks.com/blog/introducing-dbrx-new-state-art-open-llm,text; text,132B parameters (sparse),,"DBRX outperforms established open-source and open-weight base models on the Databricks Model Gauntlet, the Hugging Face Open LLM Leaderboard, and HumanEval. Full evaluation details can be found in the corresponding technical blog post.",[],Recommendations provided for retrieval augmented generation (RAG) in scenarios where accuracy and fidelity are important and additional testing around safety in the context of the specific application and domain is suggested.,open,Databricks Open Model License,"DBRX models are open, general-purpose LLMs intended and licensed for both commercial and research applications. They can be further fine-tuned for various domain-specific natural language and coding tasks.","DBRX models are not intended to be used out-of-the-box in non-English languages, and do not support native code execution, function calling or any use that violates applicable laws or regulations or is otherwise prohibited by the Databricks Open Model License and Databricks Open Model Acceptable Use Policy.",unknown,https://huggingface.co/databricks/dbrx-base/discussions,https://huggingface.co/databricks/dbrx-base,unknown,3 months,3072 NVIDIA H100s connected by 3.2Tbps Infiniband,,,,0,,3,5,5,4.50,3,4,4,3.67
model,Mistral Large,Mistral AI,Mistral Large is Mistral AI's new cutting-edge text generation model.,26/02/2024,https://mistral.ai/news/mistral-large/,text; text,unknown,,Evaluated on commonly used benchmarks in comparison to the current LLM leaders.,[],,limited,unknown,,,,,,unknown,unknown,unknown,,,,0,,6,6,6,6.00,6,5,5,5.33
model,Grok-1.5V,xAI,"Grok-1.5V is a first-generation multimodal model which can process a wide variety of visual information, including documents, diagrams, charts, screenshots, and photographs.",12/04/2024,https://x.ai/blog/grok-1.5v,"image, text; text",unknown,,"The model is evaluated in a zero-shot setting without chain-of-thought prompting. The evaluation domains include multi-disciplinary reasoning, understanding documents, science diagrams, charts, screenshots, photographs and real-world spatial understanding. The model shows competitive performance with existing frontier multimodal models.",[],,limited,unknown,"Grok-1.5V can be used for understanding documents, science diagrams, charts, screenshots, photographs. It can also translate diagrams into Python code.",unknown,unknown,,,unknown,unknown,unknown,,,,0,,4,3,6,4.75,7,5,6,6.00
